epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6816,1.64698,4.64179,1.30215,0,0,0,0,1.29976,4.43809,1.02194,4e-05,4e-05,4e-05
2,51.2486,1.37263,4.53787,1.15202,0,0,0,0,1.35519,4.43296,1.01717,9.934e-05,9.934e-05,9.934e-05
3,79.2078,1.20776,4.17491,1.04043,0,0,0,0,1.10416,4.38538,0.93956,0.000157888,0.000157888,0.000157888
4,107.138,1.10731,3.53312,1.01941,0,0,0,0,1.10356,4.40811,0.93908,0.000215644,0.000215644,0.000215644
5,131.675,1.23566,2.90894,1.08764,0,0,0,0,1.12533,4.45079,1.03994,0.000272608,0.000272608,0.000272608
6,157.18,1.21144,1.88185,1.08248,0,0,0,0,1.2795,4.38164,1.04761,0.00032878,0.00032878,0.00032878
7,189.724,1.12954,1.3388,1.05577,0,0,0,0,1.34198,4.44532,1.11697,0.00038416,0.00038416,0.00038416
8,218.468,1.24425,1.25018,1.11992,0,0,0,0,1.36957,4.45071,1.12382,0.000438748,0.000438748,0.000438748
9,243.106,1.17883,1.16578,1.09977,0,0,0,0,1.37089,4.45941,1.195,0.000492544,0.000492544,0.000492544
10,267.323,1.16695,0.89181,1.04441,0,0,0,0,1.40446,4.48118,1.20255,0.000545548,0.000545548,0.000545548
11,290.164,1.18537,0.98111,1.09202,1,0.05882,0.055,0.033,1.46723,4.38986,1.14602,0.00059776,0.00059776,0.00059776
12,316.251,1.18953,0.94395,1.1232,1,0.05882,0.055,0.033,1.36001,4.34019,1.14473,0.00064918,0.00064918,0.00064918
13,337.223,1.21605,0.9157,1.04941,0.02439,0.05882,0.055,0.0275,1.32099,4.3153,1.10523,0.000699808,0.000699808,0.000699808
14,403.652,1.24458,0.91142,1.12006,0.02174,0.11765,0.00657,0.00309,1.49484,4.35881,1.14809,0.000749644,0.000749644,0.000749644
15,456.465,1.15404,1.01828,1.03125,0.01133,0.23529,0.00266,0.00083,1.44448,4.18392,1.18628,0.000798688,0.000798688,0.000798688
16,480.546,1.09435,0.82466,1.05335,0.00622,0.23529,0.00149,0.00063,1.39874,4.17894,1.21181,0.00084694,0.00084694,0.00084694
17,504.492,1.18221,0.98398,1.11238,0.01915,0.05882,0.00554,0.00257,1.35954,4.04681,1.2059,0.0008944,0.0008944,0.0008944
18,526.506,1.27457,0.9229,1.09592,0.22518,0.05882,0.03326,0.02515,1.28675,3.9544,1.11493,0.000941068,0.000941068,0.000941068
19,548.924,1.17491,0.98352,1.10798,0.4965,0.05882,0.06627,0.04962,1.34902,3.94781,1.15064,0.000986944,0.000986944,0.000986944
20,572.327,1.07492,0.79257,1.06988,0.7962,0.05882,0.07521,0.03129,1.49305,3.90281,1.33135,0.00103203,0.00103203,0.00103203
21,594.955,1.09058,0.86675,1.08502,0.23242,0.05882,0.0484,0.0259,1.46266,3.57995,1.25902,0.00107632,0.00107632,0.00107632
