epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.407,0.65089,5.18284,0.00707,0.00396,0.50794,0.28934,0.26649,0.30193,5.47788,0.00397,5.001e-05,5.001e-05,5.001e-05
2,87.1749,0.51275,5.02786,0.00538,0.0048,0.50794,0.35199,0.31764,0.31322,5.48162,0.00417,0.000115535,0.000115535,0.000115535
3,123.428,0.46321,4.846,0.00445,0.00534,0.54365,0.35465,0.34682,0.22507,5.4378,0.00266,0.000179739,0.000179739,0.000179739
4,161.169,0.54196,4.32024,0.0053,0.00565,0.54365,0.39201,0.358,0.28321,5.43092,0.00388,0.000242624,0.000242624,0.000242624
5,203.596,0.52082,3.60982,0.00448,0.00599,0.54365,0.42453,0.40727,0.22533,5.33996,0.00294,0.000304187,0.000304187,0.000304187
6,238.66,0.4965,3.76139,0.00424,0.00661,0.54365,0.44652,0.413,0.27141,5.29467,0.00387,0.000364431,0.000364431,0.000364431
7,275.469,0.52992,3.567,0.00481,0.00718,0.54365,0.44014,0.41767,0.36721,5.16992,0.0048,0.000423355,0.000423355,0.000423355
8,328.351,0.46583,3.6623,0.00433,0.00892,0.90079,0.3955,0.37793,0.3492,5.06314,0.0052,0.000480958,0.000480958,0.000480958
9,383.039,0.52709,3.75078,0.00521,0.00802,0.54365,0.4657,0.42217,0.4659,5.06164,0.00703,0.000537241,0.000537241,0.000537241
10,425.107,0.50472,3.38398,0.00493,0.00829,0.54365,0.47387,0.46309,0.33061,5.05424,0.00434,0.000592203,0.000592203,0.000592203
11,468.713,0.49379,3.01294,0.0045,0.00847,0.54365,0.47387,0.43171,0.4692,5.07593,0.00726,0.000645846,0.000645846,0.000645846
12,528.047,0.45079,3.09212,0.00425,0.0089,0.54365,0.4636,0.45401,0.32535,5.04275,0.00457,0.000698168,0.000698168,0.000698168
13,570.453,0.52229,3.09994,0.00507,0.00892,0.54365,0.43711,0.39138,0.50378,5.00396,0.00801,0.00074917,0.00074917,0.00074917
14,611.354,0.51233,2.65948,0.00491,0.01059,0.97222,0.57161,0.48406,0.46603,4.87498,0.00727,0.000798851,0.000798851,0.000798851
15,652.361,0.4978,2.94497,0.00493,0.01006,0.97222,0.88555,0.82864,0.35466,4.49306,0.00482,0.000847213,0.000847213,0.000847213
16,698.577,0.48508,3.14157,0.00454,0.00993,0.97222,0.90081,0.83629,0.40927,4.34713,0.00586,0.000894254,0.000894254,0.000894254
17,748.845,0.48916,2.80265,0.00456,0.25644,0.90079,0.90002,0.82071,0.47465,4.23426,0.00711,0.000939975,0.000939975,0.000939975
18,794.086,0.51858,2.86148,0.00521,0.93505,0.79365,0.89302,0.83854,0.38526,4.11014,0.00502,0.000984375,0.000984375,0.000984375
19,835.148,0.49888,2.47529,0.00449,0.98798,0.47222,0.89418,0.83234,0.39905,4.09071,0.00483,0.00102746,0.00102746,0.00102746
20,875.72,0.54049,2.52731,0.00501,0.99024,0.47222,0.8977,0.81829,0.44593,4.0234,0.00615,0.00106922,0.00106922,0.00106922
21,915.824,0.53084,2.50615,0.00528,0.97868,0.47222,0.89961,0.82839,0.41275,3.66397,0.00607,0.00110966,0.00110966,0.00110966
22,956.246,0.58829,2.29005,0.00557,0.97607,0.47222,0.89887,0.83407,0.42392,3.468,0.00633,0.00114877,0.00114877,0.00114877
23,997.733,0.60027,2.31654,0.00532,0.97479,0.47222,0.89807,0.85785,0.35156,3.22076,0.00466,0.00118657,0.00118657,0.00118657
24,1040.35,0.53108,2.40392,0.00501,0.97466,0.64698,0.90637,0.82455,0.47285,3.11981,0.00684,0.00122305,0.00122305,0.00122305
25,1080.38,0.55824,2.3505,0.00599,0.97569,0.84854,0.91949,0.80535,0.59388,3.04824,0.00866,0.00125821,0.00125821,0.00125821
26,1121.05,0.58283,2.21561,0.00571,0.9802,0.85192,0.92442,0.81898,0.5781,2.88761,0.00859,0.00125442,0.00125442,0.00125442
27,1162.81,0.56678,2.2349,0.00606,0.98,0.85524,0.92455,0.85487,0.45501,2.71909,0.00617,0.00123791,0.00123791,0.00123791
28,1202.8,0.53968,2.17486,0.00501,0.9772,0.85714,0.9222,0.7996,0.54839,2.70176,0.00808,0.00122141,0.00122141,0.00122141
29,1243.01,0.68082,2.01773,0.00639,0.95666,0.82937,0.90834,0.81437,0.50097,2.64114,0.00753,0.00120491,0.00120491,0.00120491
30,1283.56,0.60591,2.07055,0.00573,0.82473,0.82937,0.89106,0.83787,0.40698,2.6284,0.00571,0.0011884,0.0011884,0.0011884
31,1324.36,0.53851,1.96852,0.00535,0.8909,0.79365,0.88219,0.82242,0.39801,2.72878,0.00528,0.0011719,0.0011719,0.0011719
32,1367.26,0.50887,2.01833,0.00467,0.97443,0.54196,0.89638,0.84199,0.3898,2.87421,0.00493,0.0011554,0.0011554,0.0011554
33,1407.62,0.46099,1.838,0.00419,0.97383,0.54239,0.9077,0.84076,0.41635,2.80866,0.00589,0.00113889,0.00113889,0.00113889
34,1447.6,0.56615,1.84626,0.00559,0.91504,0.56803,0.90241,0.82201,0.50057,2.74134,0.0078,0.00112239,0.00112239,0.00112239
