epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2394,0.75157,5.19948,0.00779,0.00385,0.5,0.27953,0.23317,0.45471,5.70966,0.00705,5.001e-05,5.001e-05,5.001e-05
2,70.0257,0.65719,4.91564,0.00634,0.00459,0.5,0.3434,0.30204,0.43174,5.6738,0.00631,0.000115535,0.000115535,0.000115535
3,98.901,0.71844,4.92803,0.00646,0.00477,0.5,0.2987,0.27599,0.46622,5.6815,0.00681,0.000179739,0.000179739,0.000179739
4,125.703,0.58852,4.56411,0.0064,0.00463,0.5,0.38536,0.34418,0.50962,5.6644,0.00792,0.000242624,0.000242624,0.000242624
5,154.144,0.62938,3.9057,0.00652,0.00477,0.5,0.40198,0.37669,0.43236,5.55775,0.00619,0.000304187,0.000304187,0.000304187
6,182.368,0.59676,4.12968,0.00638,0.00511,0.5,0.39497,0.36586,0.37633,5.49071,0.00531,0.000364431,0.000364431,0.000364431
7,209.699,0.57865,4.27447,0.00579,0.00576,0.5,0.40783,0.37835,0.46402,5.33809,0.0063,0.000423355,0.000423355,0.000423355
8,237.391,0.59604,3.30131,0.00563,0.00663,0.55,0.44526,0.42113,0.48024,5.14263,0.0068,0.000480958,0.000480958,0.000480958
9,265.909,0.7458,3.45227,0.00699,0.00752,0.6,0.46633,0.42852,0.52665,5.15296,0.00741,0.000537241,0.000537241,0.000537241
10,293.926,0.59933,3.86185,0.00689,0.00742,0.5,0.44145,0.39787,0.5773,5.23427,0.00888,0.000592203,0.000592203,0.000592203
11,321.144,0.66715,3.10856,0.00659,0.00751,0.5,0.45741,0.40874,0.57093,5.3318,0.00864,0.000645846,0.000645846,0.000645846
12,348.745,0.62081,3.12258,0.00646,0.00755,0.5,0.44287,0.40891,0.47291,5.27162,0.00697,0.000698168,0.000698168,0.000698168
13,378.864,0.70897,3.19779,0.00697,0.00759,0.5,0.36874,0.31178,0.59625,5.21015,0.00966,0.00074917,0.00074917,0.00074917
14,410.274,0.67636,2.88767,0.00686,0.00765,0.5,0.42652,0.39204,0.55557,5.07844,0.00816,0.000798851,0.000798851,0.000798851
15,440.702,0.65733,2.78616,0.00585,0.0095,1,0.84459,0.72437,0.62185,4.81792,0.00839,0.000847213,0.000847213,0.000847213
16,475.613,0.62029,2.74445,0.00606,0.00945,1,0.88778,0.75373,0.61574,4.66645,0.00848,0.000894254,0.000894254,0.000894254
17,508.578,0.81091,3.38675,0.00816,0.00937,1,0.9145,0.77844,0.66734,4.51705,0.00958,0.000939975,0.000939975,0.000939975
18,543.002,0.61975,3.39327,0.00701,0.86351,0.72967,0.91424,0.80369,0.54138,4.33881,0.00757,0.000984375,0.000984375,0.000984375
19,575.014,0.612,3.33831,0.00613,1,0.37141,0.93885,0.8244,0.57445,4.26593,0.00868,0.00102746,0.00102746,0.00102746
20,604.962,0.6105,2.76976,0.00609,1,0.52348,0.95831,0.86312,0.53336,4.0687,0.00783,0.00106922,0.00106922,0.00106922
21,634.987,0.67198,2.36954,0.00589,1,0.65361,0.97071,0.83354,0.6439,3.76378,0.00895,0.00110966,0.00110966,0.00110966
22,664.336,0.70287,2.43971,0.00612,0.98461,0.74161,0.98071,0.83941,0.63096,3.55343,0.00853,0.00114877,0.00114877,0.00114877
23,693.089,0.68773,2.47594,0.00706,0.96764,0.82098,0.99045,0.88395,0.52253,3.33307,0.00703,0.00118657,0.00118657,0.00118657
