epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2036,1.57635,4.69616,1.30372,0,0,0,0,1.2521,4.45142,1.01295,4e-05,4e-05,4e-05
2,44.0907,1.27988,4.45807,1.12722,0,0,0,0,1.27138,4.49582,1.00349,9.901e-05,9.901e-05,9.901e-05
3,63.609,1.19755,4.18406,1.0978,0,0,0,0,1.08869,4.45845,0.93619,0.000156832,0.000156832,0.000156832
4,83.0861,1.18532,3.58531,1.08596,0,0,0,0,1.11951,4.49105,0.98779,0.000213466,0.000213466,0.000213466
5,103.745,1.14717,2.73936,1.04718,0,0,0,0,1.12667,4.43667,1.03735,0.000268912,0.000268912,0.000268912
6,123.672,1.24034,1.84775,1.13115,0,0,0,0,1.17411,4.3942,1.0453,0.00032317,0.00032317,0.00032317
7,144.084,1.28346,1.38504,1.15035,0,0,0,0,1.14177,4.40582,1.07153,0.00037624,0.00037624,0.00037624
8,164.76,1.2612,1.28221,1.08492,1,0.05882,0.055,0.044,1.0739,4.39392,1.0767,0.000428122,0.000428122,0.000428122
9,188.094,1.27374,1.16939,1.08869,1,0.05882,0.055,0.0495,1.17536,4.42456,1.09319,0.000478816,0.000478816,0.000478816
10,251.045,1.23891,1.00717,1.10195,1,0.05882,0.055,0.0495,1.17569,4.42281,1.09329,0.000528322,0.000528322,0.000528322
11,300.897,1.13958,0.8843,1.06417,1,0.05882,0.055,0.0495,1.17569,4.42281,1.09329,0.00057664,0.00057664,0.00057664
12,346.685,1.18383,1.06176,1.11225,1,0.05882,0.055,0.0495,1.17569,4.42281,1.09329,0.00062377,0.00062377,0.00062377
13,391.305,1.2801,1.0858,1.15145,1,0.05882,0.055,0.0495,1.17569,4.42281,1.09329,0.000669712,0.000669712,0.000669712
14,436.587,1.23048,1.06099,1.13807,1,0.05882,0.055,0.0495,1.17569,4.42281,1.09329,0.000714466,0.000714466,0.000714466
15,480.591,1.17449,0.94736,1.11324,1,0.05882,0.055,0.0495,1.17569,4.42281,1.09329,0.000758032,0.000758032,0.000758032
16,525.604,1.17162,0.91058,1.11623,1,0.05882,0.055,0.0495,1.17569,4.42281,1.09329,0.00080041,0.00080041,0.00080041
17,571.088,1.15749,1.03194,1.05375,1,0.05882,0.055,0.0495,1.17569,4.42281,1.09329,0.0008416,0.0008416,0.0008416
18,617.198,1.13464,0.97399,1.10155,1,0.05882,0.055,0.0495,1.17569,4.42281,1.09329,0.000881602,0.000881602,0.000881602
19,666.069,1.20742,1.02754,1.12534,1,0.05882,0.055,0.0495,1.17569,4.42281,1.09329,0.000920416,0.000920416,0.000920416
20,720.093,1.2417,0.96376,1.12275,1,0.05882,0.055,0.0495,1.17569,4.42281,1.09329,0.000958042,0.000958042,0.000958042
21,752.026,1.21976,1.07386,1.1093,1,0.05882,0.055,0.033,1.29612,4.37357,1.08721,0.00099448,0.00099448,0.00099448
22,777.148,1.27105,1.01596,1.08691,1,0.05882,0.055,0.033,1.31768,4.28195,1.10981,0.00102973,0.00102973,0.00102973
23,801.103,1.16065,0.87937,1.04918,1,0.11765,0.115,0.0855,1.27647,4.24125,1.12393,0.00106379,0.00106379,0.00106379
24,824.339,1.14547,0.95838,1.07501,0.66667,0.11765,0.095,0.056,1.34771,4.31623,1.2009,0.00109667,0.00109667,0.00109667
25,872.078,1.19596,0.89423,1.08731,0.66667,0.11765,0.095,0.056,1.34462,4.31977,1.20094,0.00112835,0.00112835,0.00112835
26,893.513,1.14292,0.95914,1.10214,1,0.05882,0.055,0.0495,1.46585,4.59738,1.42048,0.00115885,0.00115885,0.00115885
27,916.03,1.15793,1.00665,1.12169,0.07692,0.05882,0.055,0.0495,1.39817,4.46872,1.31406,0.00118816,0.00118816,0.00118816
28,938.431,1.11663,0.8216,1.05341,0.02703,0.11765,0.00793,0.00653,1.36664,4.39831,1.27294,0.00121628,0.00121628,0.00121628
